index,City,Date,Card Type,Exp Type,Gender,Amount,Reward Points Earned,Age Group,Annual Income,Credit Limit,Credit Utilization (%),Transaction Category (Online vs. POS)
0,"Delhi, India",29-Oct-14,Gold,Bills,F,82475,824,26-35,300000,50000,100,POS
1,"Greater Mumbai, India",22-Aug-14,Platinum,Bills,F,32555,325,36-45,800000,200000,16.28,POS
2,"Bengaluru, India",27-Aug-14,Silver,Bills,F,101738,1017,18-25,800000,200000,50.87,POS
3,"Greater Mumbai, India",12-Apr-14,Signature,Bills,F,123424,1234,26-35,300000,50000,100,POS
4,"Bengaluru, India",05-May-15,Gold,Bills,F,171574,1715,18-25,1200000,300000,57.19,Online
5,"Delhi, India",08-Sep-14,Silver,Bills,F,100036,1000,18-25,500000,100000,100,POS
6,"Delhi, India",24-Feb-15,Gold,Bills,F,143250,1432,26-35,2000000,500000,28.65,POS
7,"Greater Mumbai, India",26-Jun-14,Platinum,Bills,F,150980,1509,26-35,1200000,300000,50.33,POS
8,"Delhi, India",28-Mar-14,Silver,Bills,F,192247,1922,26-35,300000,50000,100,Online
9,"Delhi, India",01-Sep-14,Platinum,Bills,F,67932,679,36-45,300000,50000,100,POS
10,"Delhi, India",22-Jun-14,Platinum,Bills,F,280061,2800,26-35,800000,200000,100,Online
11,"Greater Mumbai, India",07-Dec-13,Signature,Bills,F,278036,2780,36-45,1200000,300000,92.68,Online
12,"Greater Mumbai, India",07-Aug-14,Gold,Bills,F,19226,192,26-35,800000,200000,9.61,POS
13,"Delhi, India",27-Apr-14,Signature,Bills,F,254359,2543,46-60,300000,50000,100,Online
14,"Greater Mumbai, India",15-Aug-14,Signature,Bills,F,302834,3028,18-25,500000,100000,100,Online
15,"Greater Mumbai, India",28-Nov-14,Platinum,Bills,F,647116,6471,36-45,2000000,500000,100,Online
16,"Greater Mumbai, India",14-Jun-14,Signature,Bills,F,421878,4218,26-35,500000,100000,100,Online
17,"Greater Mumbai, India",30-Mar-15,Gold,Bills,F,986379,9863,36-45,300000,50000,100,Online
18,"Greater Mumbai, India",15-Mar-14,Platinum,Bills,F,213047,2130,18-25,500000,100000,100,Online
19,"Greater Mumbai, India",09-Nov-13,Platinum,Bills,F,735566,7355,26-35,800000,200000,100,Online
20,"Delhi, India",04-Apr-14,Signature,Bills,F,366102,3661,46-60,800000,200000,100,Online
21,"Delhi, India",01-Jul-14,Signature,Bills,F,809623,8096,60+,1200000,300000,100,Online
22,"Greater Mumbai, India",27-Mar-15,Silver,Bills,F,467014,4670,26-35,800000,200000,100,Online
23,"Ahmedabad, India",11-Oct-13,Gold,Bills,F,668568,6685,36-45,1200000,300000,100,Online
24,"Ahmedabad, India",26-Mar-14,Gold,Bills,F,339112,3391,46-60,300000,50000,100,Online
25,"Delhi, India",27-Sep-14,Silver,Bills,F,622170,6221,46-60,1200000,300000,100,Online
26,"Bengaluru, India",23-Mar-14,Platinum,Bills,F,434427,4344,18-25,800000,200000,100,Online
27,"Greater Mumbai, India",17-May-14,Signature,Bills,F,655846,6558,18-25,2000000,500000,100,Online
28,"Bengaluru, India",18-Jan-15,Platinum,Bills,F,987935,9879,26-35,2000000,500000,100,Online
29,"Delhi, India",18-Apr-15,Gold,Bills,F,702774,7027,46-60,500000,100000,100,Online
30,"Bengaluru, India",31-Jul-14,Signature,Bills,F,225392,2253,18-25,500000,100000,100,Online
31,"Greater Mumbai, India",11-Feb-15,Gold,Bills,F,296573,2965,26-35,1200000,300000,98.86,Online
32,"Ahmedabad, India",24-Nov-13,Platinum,Bills,F,227702,2277,60+,800000,200000,100,Online
